,name,club,league,attacking,defending,goalkeeping,average_age,international_reputation,mentality,movement,overall,potential,power,skill,skill_moves,value_eur,wage_eur,work_rate,year
6138,Kiko Olivas,Girona FC,La Liga,50,74,11,26,1,54,54,70,72,57,45,2,1300000,30000,Medium,2016
6139,B. Hübner,FC Ingolstadt 04,Bundesliga,46,74,12,25,1,57,53,70,72,55,52,2,1300000,25000,Medium,2016
6140,K. Wilczek,Carpi,Serie A,69,11,10,27,1,63,69,70,72,72,64,3,1600000,30000,High,2016
6141,Juan Villar,Real Valladolid CF,La Liga,59,25,7,27,1,58,78,70,72,65,71,3,1600000,30000,High,2016
6142,Juan Carlos,Rayo Vallecano,La Liga,10,8,72,27,1,12,59,70,72,38,6,1,1300000,30000,Medium,2016
6143,J. Cuffaut,AS Nancy Lorraine,Ligue 1,54,72,10,27,1,59,72,70,72,61,57,2,1300000,30000,Medium,2016
6144,D. Kreilach,1. FC Union Berlin,Bundesliga,56,64,11,26,1,67,63,70,72,78,68,2,1300000,30000,Medium,2016
6145,O. Iakovenko,Fiorentina,Serie A,64,18,12,27,1,49,72,70,71,68,70,3,1500000,30000,Medium,2016
6146,B. Turner,Cardiff City,Premier League,44,75,13,26,1,44,49,70,71,54,42,2,1300000,30000,Low,2016
6147,Crespo,Aston Villa,Premier League,53,75,10,28,1,61,66,70,71,62,58,2,1200000,30000,Medium,2016
6148,C. Strohdiek,Fortuna Düsseldorf,Bundesliga,34,74,12,27,1,53,49,70,71,46,34,2,1200000,30000,Medium,2016
6149,L. Schmitz,Fortuna Düsseldorf,Bundesliga,60,74,12,26,1,62,66,70,71,75,68,2,1300000,30000,Medium,2016
6150,A. Cohen,FC Ingolstadt 04,Bundesliga,53,71,10,26,1,60,71,70,71,71,62,2,1300000,30000,Low,2016
6151,D. Whitehead,Huddersfield Town,Premier League,63,72,12,33,2,72,66,70,70,74,69,3,825000,15000,Medium,2016
6152,M. Brighi,Bologna,Serie A,68,61,11,34,2,71,62,70,70,68,69,2,650000,15000,Medium,2016
6153,R. Schäfer,1. FC Nürnberg,Bundesliga,0,-1,62,36,2,22,43,70,70,38,2,1,600000,15000,Medium,2016
6154,P. Niemeyer,SV Darmstadt 98,Bundesliga,36,78,11,31,1,55,41,70,70,57,32,2,875000,20000,Low,2016
6155,L. Pionnier,Montpellier HSC,Ligue 1,5,-1,71,33,1,19,49,70,70,38,12,1,950000,15000,Medium,2016
6156,B. Lobonţ,Roma,Serie A,5,9,72,37,2,22,48,70,70,33,13,1,400000,25000,Medium,2016
6157,S. da Silva Pinto,Fortuna Düsseldorf,Bundesliga,62,66,15,34,2,66,63,70,70,74,71,3,400000,15000,Medium,2016
6158,M. Kightly,Burnley,Premier League,60,33,11,29,2,59,73,70,70,67,60,3,1200000,25000,High,2016
6159,Bruno Saltor,Brighton & Hove Albion,Premier League,59,74,11,34,1,64,67,70,70,57,65,2,375000,15000,High,2016
6160,Juli,Deportivo Alavés,La Liga,64,25,13,33,1,62,72,70,70,61,73,3,875000,4000,Medium,2016
6161,David García,UD Las Palmas,La Liga,56,74,13,33,1,60,58,70,70,59,52,2,600000,15000,Medium,2016
6162,Dani Giménez,Real Betis,La Liga,4,0,72,31,1,22,63,70,70,38,9,1,1100000,20000,Medium,2016
6163,M. Ndjeng,SC Paderborn 07,Bundesliga,64,67,15,33,1,63,76,70,70,70,73,3,825000,15000,Medium,2016
6164,M. Gspurning,FC Schalke 04,Bundesliga,19,17,70,34,2,24,43,70,70,45,20,1,875000,25000,Medium,2016
6165,M. Roman,Toulouse Football Club,Ligue 1,69,46,12,30,1,63,72,70,70,63,64,3,1200000,20000,High,2016
6166,T. Sebastian,RB Leipzig,Bundesliga,48,75,11,31,1,54,59,70,70,62,44,2,875000,20000,Medium,2016
6167,M. Brečko,1. FC Nürnberg,Bundesliga,53,77,12,31,2,57,66,70,70,62,61,2,850000,25000,Medium,2016
6168,C. Puggioni,Sampdoria,Serie A,12,2,69,34,1,18,50,70,70,36,15,1,875000,15000,Medium,2016
6169,D. Biondini,Sassuolo,Serie A,62,65,11,32,2,66,67,70,70,71,64,2,1000000,25000,High,2016
6170,J. Perch,Queens Park Rangers,Premier League,59,77,9,29,1,63,67,70,70,62,56,2,975000,20000,Medium,2016
6171,K. Lafferty,Norwich City,Premier League,68,34,11,27,1,59,66,70,70,72,60,2,1400000,30000,Medium,2016
6172,J. Polák,1. FC Nürnberg,Bundesliga,57,62,13,34,2,63,54,70,70,69,57,2,400000,15000,Low,2016
6173,D. Stroh-Engel,SV Darmstadt 98,Bundesliga,61,31,14,29,1,60,50,70,70,65,56,2,1300000,25000,Medium,2016
6174,O. Fink,Fortuna Düsseldorf,Bundesliga,61,67,12,33,1,66,53,70,70,74,65,2,600000,15000,Medium,2016
6175,E. Cascione,Cesena,Serie A,56,65,11,31,1,71,64,70,70,75,67,2,1100000,20000,High,2016
6176,M. Baca,En Avant de Guingamp,Ligue 1,56,77,12,32,1,63,66,70,70,55,58,2,750000,20000,Medium,2016
6177,M. Compper,RB Leipzig,Bundesliga,48,71,12,30,1,54,60,70,70,57,47,2,950000,20000,Medium,2016
6178,S. Golbourne,Wolverhampton Wanderers,Premier League,53,75,12,27,1,55,72,70,70,59,55,2,1100000,30000,High,2016
6179,Toquero,Deportivo Alavés,La Liga,63,54,11,30,1,75,65,70,70,76,60,2,1300000,15000,Medium,2016
6180,Carpio,Deportivo Alavés,La Liga,54,74,9,31,1,61,78,70,70,71,53,2,850000,8000,Medium,2016
6181,Adrián Colunga,Brighton & Hove Albion,Premier League,64,4,9,30,1,58,76,70,70,66,69,4,1300000,25000,Medium,2016
6182,L. Sepsi,1. FC Nürnberg,Bundesliga,57,75,10,28,1,67,73,70,70,61,63,3,1000000,30000,Medium,2016
6183,L. Ceccarelli,Bologna,Serie A,58,79,9,32,1,56,67,70,70,68,56,2,750000,20000,High,2016
6184,D. Dessena,Cagliari,Serie A,65,71,5,28,1,70,72,70,70,76,68,3,1300000,30000,Medium,2016
6185,S. Fürstner,1. FC Union Berlin,Bundesliga,56,71,12,27,1,61,66,70,70,68,60,2,1100000,30000,Medium,2016
6186,D. Bassi,Atalanta,Serie A,8,3,70,30,1,21,47,70,70,34,11,1,1100000,20000,Medium,2016
6187,R. Hennings,Burnley,Premier League,66,32,13,27,1,59,69,70,70,74,63,3,1400000,30000,High,2016
6188,D. Švento,1. FC Köln,Bundesliga,66,65,12,29,1,59,76,70,70,68,69,3,1200000,20000,Medium,2016
6189,F. Bellugou,FC Lorient,Ligue 1,51,76,10,28,1,64,57,70,70,66,66,2,1100000,30000,Medium,2016
6190,N. Cherubin,Atalanta,Serie A,31,77,9,29,1,41,55,70,70,49,29,2,1000000,20000,Low,2016
6191,J. van den Bergh,Hertha BSC,Bundesliga,44,75,11,28,1,48,68,70,70,58,50,2,1000000,30000,Medium,2016
6192,E. Terranova,Sassuolo,Serie A,36,74,9,28,1,52,60,70,70,58,46,2,1100000,30000,Medium,2016
6193,Samuel,Real Valladolid CF,La Liga,43,72,9,30,1,52,56,70,70,62,40,2,950000,20000,Low,2016
6194,D. Veškovac,ESTAC Troyes,Ligue 1,49,74,12,29,1,60,53,70,70,63,51,2,1000000,20000,Medium,2016
6195,J. Brayford,Sheffield United,Premier League,55,75,14,27,1,52,74,70,70,70,54,2,1100000,30000,Medium,2016
6196,M. Frantz,SC Freiburg,Bundesliga,66,69,12,28,2,68,69,70,70,74,63,2,1300000,30000,Medium,2016
6197,S. Brandy,1. FC Union Berlin,Bundesliga,66,29,10,30,1,59,73,70,70,75,62,2,1300000,25000,Medium,2016
6198,G. Arlauskis,Watford,Premier League,15,13,70,27,1,18,44,70,70,32,15,1,1100000,30000,Medium,2016
6199,T. Ream,Fulham,Premier League,60,76,13,27,1,59,69,70,70,64,66,2,1100000,30000,Medium,2016
6200,F. Melchiorri,Cagliari,Serie A,62,12,10,28,1,51,75,70,70,72,48,3,1400000,30000,High,2016
6201,D. Alli,Tottenham Hotspur,Premier League,68,60,9,19,1,68,71,69,85,71,65,3,2100000,10000,High,2016
6202,G. Donsah,Bologna,Serie A,58,64,11,19,1,64,80,69,85,78,70,2,2100000,6000,Medium,2016
6203,M. Ødegaard,Real Madrid,La Liga,52,22,13,16,1,54,67,69,82,37,70,4,1700000,8000,High,2016
6204,Borja Fernández,RC Celta,La Liga,47,70,11,19,1,66,65,69,82,56,51,2,1600000,6000,Medium,2016
6205,A. Gnoukouri,Inter,Serie A,65,77,10,18,1,69,67,69,82,67,69,2,1700000,5000,Medium,2016
6206,E. Buendía,Getafe CF,La Liga,77,18,11,18,1,60,85,69,82,50,88,2,1700000,4000,Medium,2016
6207,H. Ongenda,Paris Saint-Germain,Ligue 1,59,37,13,20,1,55,75,69,81,57,60,3,1800000,15000,Medium,2016
6208,D. Iorfa,Wolverhampton Wanderers,Premier League,47,81,11,20,1,59,77,69,81,63,53,2,1600000,6000,High,2016
6209,J. Weigl,Borussia Dortmund,Bundesliga,58,65,11,19,1,62,75,69,81,59,64,2,1500000,15000,Medium,2016
6210,S. Milinković-Savić,Lazio,Serie A,51,71,10,20,1,57,61,69,81,72,60,2,1600000,10000,Medium,2016
6211,S. Sparagna,Olympique de Marseille,Ligue 1,42,83,10,20,1,49,57,69,81,58,38,2,1600000,10000,Medium,2016
6212,T. Hoban,Watford,Premier League,55,81,13,21,1,47,52,69,80,56,48,2,1600000,8000,Medium,2016
6213,Rubén Blanco,RC Celta,La Liga,15,5,71,19,1,21,55,69,80,31,8,1,1400000,6000,Medium,2016
6214,V. Koziello,OGC Nice,Ligue 1,72,70,12,19,1,83,69,69,80,58,75,3,1600000,6000,Medium,2016
6215,J. Schlupp,Leicester City,Premier League,64,65,9,22,1,69,81,69,79,77,59,2,1400000,8000,High,2016
6216,K. Coman,FC Bayern München,Bundesliga,68,1,5,19,1,55,85,69,79,70,78,3,1500000,15000,Medium,2016
6217,Hélder Costa,AS Monaco,Ligue 1,58,26,11,21,1,51,77,69,79,62,65,4,1600000,10000,High,2016
6218,L. Garbutt,Fulham,Premier League,60,71,11,22,1,62,70,69,78,66,72,2,1400000,8000,High,2016
6219,H. Maguire,Hull City,Premier League,47,73,13,22,1,54,50,69,78,62,46,2,1400000,8000,Medium,2016
6220,J. Lingard,Manchester United,Premier League,59,29,11,22,1,57,73,69,78,54,63,3,1600000,15000,Medium,2016
6221,N. Aké,Watford,Premier League,57,74,11,20,1,55,70,69,78,64,65,2,1400000,6000,Medium,2016
6222,Gilberto,Fiorentina,Serie A,52,72,12,22,1,63,65,69,78,50,50,2,1400000,8000,Medium,2016
6223,C. N'Jié,Tottenham Hotspur,Premier League,65,28,11,21,1,60,85,69,78,67,64,4,1600000,15000,High,2016
6224,A. Schöpf,1. FC Nürnberg,Bundesliga,59,27,11,21,1,50,79,69,78,65,69,3,1600000,8000,Medium,2016
6225,J. Augustin,Paris Saint-Germain,Ligue 1,73,7,10,18,1,50,76,69,78,66,64,3,1300000,8000,Medium,2016
6226,F. Guilbert,FC Girondins de Bordeaux,Ligue 1,54,73,11,20,1,54,66,69,78,62,54,2,1400000,6000,Medium,2016
6227,A. Turan,Stade de Reims,Ligue 1,54,75,12,23,1,64,70,69,77,61,61,2,1300000,8000,High,2016
6228,G. Caprari,Pescara,Serie A,60,1,10,21,1,43,86,69,77,58,65,3,1500000,8000,Medium,2016
6229,M. Dupé,FC Nantes,Ligue 1,4,-2,69,22,1,12,46,69,77,34,9,1,1300000,8000,Medium,2016
6230,Pablo Iñiguez,Villarreal CF,La Liga,51,75,11,21,1,59,63,69,77,63,59,2,1300000,8000,Medium,2016
6231,E. Krafth,Bologna,Serie A,57,71,12,20,1,62,73,69,77,64,62,2,1300000,6000,High,2016
6232,P. Max,FC Augsburg,Bundesliga,56,72,12,21,1,55,82,69,77,62,65,2,1300000,8000,Medium,2016
6233,B. Perea,ESTAC Troyes,Ligue 1,66,23,9,22,1,46,65,69,77,68,65,3,1500000,8000,High,2016
6234,J. Toljan,TSG 1899 Hoffenheim,Bundesliga,54,75,12,20,1,53,71,69,77,60,53,2,1300000,6000,Medium,2016
6235,S. Perica,Udinese,Serie A,60,15,13,19,1,55,65,69,77,71,52,2,1400000,8000,Medium,2016
6236,J. Pohjanpalo,Fortuna Düsseldorf,Bundesliga,64,10,11,20,1,51,71,69,77,67,58,3,1500000,8000,Medium,2016
6237,V. Lavigne,FC Lorient,Ligue 1,68,37,12,21,1,57,73,69,77,64,65,3,1500000,8000,Medium,2016
6238,Josep Señé,RC Celta,La Liga,59,48,12,23,1,61,63,69,77,53,66,3,1500000,10000,High,2016
6239,M. Gajić,FC Girondins de Bordeaux,Ligue 1,62,72,7,19,1,64,66,69,77,59,61,2,1100000,6000,High,2016
6240,J. King,Bournemouth,Premier League,64,21,11,23,1,51,79,69,76,65,61,3,1400000,8000,Medium,2016
6241,M. D'Alessandro,Atalanta,Serie A,60,26,11,24,1,50,83,69,76,61,62,3,1400000,8000,High,2016
6242,A. Richards,Fulham,Premier League,54,76,9,24,1,56,68,69,76,64,59,3,1200000,8000,Medium,2016
6243,N. Powell,Manchester United,Premier League,62,34,13,21,1,60,69,69,76,68,63,2,1400000,15000,Medium,2016
6244,R. Brady,Norwich City,Premier League,65,74,10,23,1,63,75,69,76,70,73,3,1200000,8000,Medium,2016
6245,Cristian Herrera,UD Almería,La Liga,65,29,13,24,1,57,53,69,76,69,63,3,1500000,10000,High,2016
6246,M. Livaja,Empoli,Serie A,60,13,13,21,1,64,67,69,76,67,57,3,1500000,8000,Medium,2016
6247,Gustavo Campanharo,Évian Thonon Gaillard FC,Ligue 1,62,65,11,23,1,62,68,69,76,61,68,2,1400000,8000,Medium,2016
6248,C. Ascues,VfL Wolfsburg,Bundesliga,52,67,11,23,1,61,64,69,76,69,54,3,1200000,15000,Medium,2016
6249,C. Mathenia,SV Darmstadt 98,Bundesliga,9,0,70,23,1,23,46,69,76,39,13,1,1200000,8000,Medium,2016
6250,M. Philipp,SC Freiburg,Bundesliga,62,26,10,21,1,58,76,69,76,64,65,3,1400000,8000,Medium,2016
6251,U. Đurđević,Palermo,Serie A,60,16,10,21,1,61,69,69,76,66,60,3,1500000,8000,Medium,2016
6252,S. Özmen,FC Metz,Ligue 1,46,71,12,22,1,57,64,69,76,66,52,2,1200000,8000,Medium,2016
6253,G. Bruno,Évian Thonon Gaillard FC,Ligue 1,66,9,12,23,1,54,68,69,75,63,59,3,1400000,10000,Medium,2016
6254,K. Bartley,Swansea City,Premier League,44,72,10,24,1,51,53,69,75,52,40,2,1200000,8000,Medium,2016
6255,Y. Salibur,En Avant de Guingamp,Ligue 1,59,35,11,24,1,54,77,69,75,70,67,3,1400000,10000,High,2016
6256,J. Davidson,Huddersfield Town,Premier League,61,74,12,24,1,60,69,69,75,58,58,2,1200000,8000,Medium,2016
6257,C. Mavrias,Sunderland,Premier League,64,32,11,21,1,52,72,69,75,62,68,3,1400000,8000,High,2016
6258,B. Martella,Crotone,Serie A,57,78,10,22,1,46,75,69,75,64,52,2,1200000,8000,Medium,2016
6259,S. Ameobi,Cardiff City,Premier League,64,23,10,23,1,57,72,69,75,61,66,3,1400000,8000,Medium,2016
6260,A. Benali,Pescara,Serie A,56,44,9,23,1,61,76,69,75,63,69,2,1400000,8000,Medium,2016
6261,Álex Barrera,Real Sporting de Gijón,La Liga,63,65,12,24,1,63,63,69,75,60,64,2,1400000,10000,Medium,2016
6262,K. Stöger,SC Paderborn 07,Bundesliga,61,28,13,21,1,53,72,69,75,61,70,3,1400000,8000,Medium,2016
6263,O. Petrák,1. FC Nürnberg,Bundesliga,48,69,12,23,1,50,67,69,75,63,50,2,1200000,8000,Medium,2016
6264,M. Kone,Cesena,Serie A,56,56,10,25,1,68,73,69,75,77,67,2,1300000,8000,Medium,2016
6265,Eddy,SD Eibar,La Liga,57,66,11,22,1,64,66,69,75,72,68,4,1400000,4000,Medium,2016
6266,Y. Musavu-King,Granada CF,La Liga,54,73,12,23,1,47,55,69,75,71,57,2,1200000,8000,Medium,2016
6267,S. Marković,Córdoba CF,La Liga,58,63,8,24,1,67,60,69,75,68,69,2,1400000,8000,Medium,2016
6268,V. Fiorillo,Pescara,Serie A,0,-4,69,25,1,13,43,69,74,32,2,1,1100000,8000,Medium,2016
6269,M. James,Leicester City,Premier League,62,67,11,23,1,62,67,69,74,70,68,3,1300000,8000,Medium,2016
6270,K. Laribi,Sassuolo,Serie A,58,26,12,24,1,53,80,69,74,63,68,3,1400000,10000,Medium,2016
6271,F. Ulvestad,Burnley,Premier League,62,50,12,23,1,68,69,69,74,70,69,3,1300000,8000,Medium,2016
6272,M. Autret,Racing Club de Lens,Ligue 1,61,38,11,24,1,58,72,69,74,56,68,3,1400000,10000,Medium,2016
6273,E. Moreno,Real Valladolid CF,La Liga,66,31,11,23,1,54,68,69,74,70,53,3,1400000,10000,Medium,2016
6274,J. Palomino,FC Metz,Ligue 1,53,75,11,25,1,45,54,69,74,54,55,2,1100000,8000,Low,2016
6275,Raillo,RCD Espanyol,La Liga,60,79,14,23,1,74,57,69,74,74,72,2,1200000,8000,Low,2016
6276,Emilio Nsue,Middlesbrough,Premier League,63,66,13,25,1,63,79,69,73,76,64,3,1100000,8000,Medium,2016
6277,E. Bennett,Norwich City,Premier League,61,53,10,26,1,52,73,69,73,66,66,3,1300000,10000,Medium,2016
6278,B. Sigurðarson,Wolverhampton Wanderers,Premier League,68,31,13,23,1,58,73,69,73,74,57,4,1400000,10000,Medium,2016
6279,A. Stoian,Crotone,Serie A,66,31,10,24,1,54,77,69,73,62,73,3,1300000,10000,Medium,2016
6280,André Santos,FC Metz,Ligue 1,63,64,11,26,1,61,67,69,73,71,71,3,1300000,10000,Medium,2016
6281,Laguardia,Deportivo Alavés,La Liga,47,73,12,25,1,54,64,69,73,57,41,2,1100000,4000,Medium,2016
6282,D. Batth,Wolverhampton Wanderers,Premier League,35,74,10,24,1,49,45,69,73,55,33,2,1100000,8000,Low,2016
6283,A. Seculin,Chievo Verona,Serie A,5,-1,72,24,1,22,41,69,73,27,9,1,1100000,8000,Medium,2016
6284,A. Abrashi,SC Freiburg,Bundesliga,59,67,15,25,1,66,74,69,73,71,58,3,1100000,8000,High,2016
6285,A. Bamba,Dijon FCO,Ligue 1,54,70,11,25,1,50,74,69,73,66,57,3,1100000,8000,Medium,2016
6286,T. Kempe,SV Darmstadt 98,Bundesliga,64,32,14,26,1,53,68,69,73,71,72,3,1300000,10000,Medium,2016
6287,Fran Vélez,UD Almería,La Liga,45,72,11,24,1,55,59,69,73,61,53,2,1100000,8000,Medium,2016
6288,Serantes,CD Leganés,La Liga,7,9,73,25,1,19,55,69,73,35,10,1,1100000,1000,Medium,2016
6289,P. Dummett,Newcastle United,Premier League,56,77,13,23,1,56,67,69,73,59,62,2,1100000,15000,High,2016
6290,M. de Roon,Atalanta,Serie A,61,64,13,24,1,70,65,69,73,75,60,2,1100000,8000,High,2016
6291,L. Pasciuti,Carpi,Serie A,63,60,9,25,1,60,82,69,73,65,80,3,1300000,8000,Medium,2016
6292,H. Traoré,Stade de Reims,Ligue 1,50,78,12,23,1,52,73,69,73,51,52,2,1100000,8000,Medium,2016
6293,Omar Ramos,CD Leganés,La Liga,52,32,12,27,1,48,81,69,72,50,72,3,1200000,3000,Medium,2016
6294,S. Morrison,Cardiff City,Premier League,39,72,14,24,1,51,52,69,72,57,37,2,1100000,8000,Medium,2016
6295,W. Moimbé,FC Nantes,Ligue 1,56,72,12,26,1,60,76,69,72,60,53,2,1000000,10000,Medium,2016
6296,S. Joseph-Monrose,Stade Brestois 29,Ligue 1,64,33,10,24,1,50,80,69,72,70,61,3,1300000,8000,High,2016
6297,F. Jungwirth,SV Darmstadt 98,Bundesliga,47,70,10,26,1,56,66,69,72,63,53,2,1000000,10000,Medium,2016
6298,M. Barthelmé,FC Lorient,Ligue 1,61,69,13,26,1,64,74,69,72,57,66,3,1200000,10000,Medium,2016
6299,E. Lenjani,FC Nantes,Ligue 1,72,86,11,25,1,68,74,69,72,69,66,2,1000000,8000,Medium,2016
6300,N. Höfler,SC Freiburg,Bundesliga,54,70,11,25,1,61,65,69,72,70,61,2,1100000,8000,Medium,2016
6301,A. Longhi,Sassuolo,Serie A,54,69,10,26,1,59,67,69,72,70,60,2,1000000,10000,High,2016
6302,M. Michel,Nîmes Olympique,Ligue 1,12,2,71,23,1,7,46,69,72,32,8,1,1100000,4000,Medium,2016
6303,S. Lex,FC Ingolstadt 04,Bundesliga,63,20,12,25,1,52,79,69,72,66,59,3,1300000,10000,High,2016
6304,C. Acuña,RCD Mallorca,La Liga,65,28,11,27,1,55,75,69,71,69,61,2,1200000,15000,Medium,2016
6305,L. Jutkiewicz,Burnley,Premier League,62,32,11,26,1,59,66,69,71,71,59,3,1200000,15000,Medium,2016
6306,G. Obertan,Newcastle United,Premier League,60,31,12,26,1,59,73,69,71,66,60,4,1200000,15000,Medium,2016
6307,D. Bakar,Montpellier HSC,Ligue 1,62,16,13,26,1,57,74,69,71,67,66,3,1200000,15000,Medium,2016
6308,Dani Castellano,UD Las Palmas,La Liga,58,70,11,27,1,59,74,69,71,66,63,2,950000,10000,High,2016
6309,Jesús,Levante UD,La Liga,5,1,68,27,1,24,45,69,71,39,6,1,975000,10000,Medium,2016
6310,Héctor Rodas,Córdoba CF,La Liga,52,73,11,27,1,53,50,69,71,54,45,2,975000,10000,Medium,2016
6311,S. Ilsanker,RB Leipzig,Bundesliga,51,76,12,26,1,61,46,69,71,70,49,2,1000000,10000,Medium,2016
6312,Vicente Gómez,UD Las Palmas,La Liga,68,47,12,26,1,63,54,69,71,58,62,2,1200000,15000,Medium,2016
6313,D. Kaiser,RB Leipzig,Bundesliga,71,59,11,26,1,69,71,69,71,72,73,3,1200000,10000,Medium,2016
6314,C. Martina,Southampton,Premier League,54,78,14,25,1,61,68,69,71,72,57,2,1000000,8000,Medium,2016
6315,V. Laurini,Empoli,Serie A,49,75,12,26,1,54,73,69,71,60,56,2,1000000,10000,Medium,2016
6316,J. Falcón,FC Metz,Ligue 1,59,14,11,26,1,56,64,69,71,74,47,2,1200000,15000,High,2016
6317,Dani Estrada,Deportivo Alavés,La Liga,54,71,13,28,1,59,72,69,70,61,65,3,875000,6000,High,2016
6318,M. N'Diaye,ESTAC Troyes,Ligue 1,44,71,8,25,1,50,60,69,70,64,39,2,1000000,8000,Medium,2016
6319,S. Wagner,SV Darmstadt 98,Bundesliga,64,8,10,27,1,45,49,69,70,71,45,2,1200000,15000,Medium,2016
6320,R. Wolf,SV Werder Bremen,Bundesliga,2,2,67,27,1,15,43,69,70,38,5,1,950000,10000,Medium,2016
6321,L. Balogun,1. FSV Mainz 05,Bundesliga,55,75,10,27,1,55,63,69,70,73,56,2,925000,10000,Medium,2016
6322,P. Valdivia,Racing Club de Lens,Ligue 1,61,68,10,27,1,66,65,69,70,73,63,2,1100000,10000,Medium,2016
6323,J. Sylvestr,1. FC Nürnberg,Bundesliga,55,7,11,26,1,43,77,69,70,62,55,3,1200000,15000,Medium,2016
6324,B. Kessel,1. FC Union Berlin,Bundesliga,60,76,13,27,1,57,60,69,70,62,56,2,925000,10000,Medium,2016
6325,J. Schauerte,Fortuna Düsseldorf,Bundesliga,55,73,11,27,1,61,76,69,70,61,61,2,925000,10000,High,2016
6326,R. Filippi,GFC Ajaccio,Ligue 1,43,79,12,26,1,46,39,69,70,53,43,2,975000,10000,Medium,2016
6327,G. Pasquale,Udinese,Serie A,64,73,12,33,2,65,69,69,69,70,68,2,625000,6000,Medium,2016
6328,J. Bréchet,GFC Ajaccio,Ligue 1,58,76,11,35,2,58,29,69,69,59,58,2,170000,6000,Medium,2016
6329,Manuel Pablo,Deportivo de La Coruña,La Liga,60,77,13,39,2,65,59,69,69,55,65,3,0,6000,High,2016
6330,M. Gilks,Burnley,Premier League,9,8,68,33,2,18,44,69,69,26,10,1,725000,6000,Medium,2016
6331,G. Bellini,Atalanta,Serie A,55,78,14,35,2,56,60,69,69,65,56,2,150000,6000,Medium,2016
6332,B. Pedretti,AS Nancy Lorraine,Ligue 1,68,65,12,34,2,70,56,69,69,67,72,3,475000,6000,Medium,2016
6333,A. Caracciolo,Brescia,Serie A,69,18,12,33,2,53,50,69,69,72,53,2,675000,8000,Medium,2016
6334,B. Grougi,Stade Brestois 29,Ligue 1,64,43,12,32,1,69,73,69,69,59,70,3,800000,10000,Medium,2016
6335,Camacho,SD Huesca,La Liga,64,54,9,34,1,72,60,69,69,71,72,3,525000,8000,Medium,2016
6336,A. Yahia,Stade Malherbe Caen,Ligue 1,54,69,14,33,1,56,46,69,69,64,50,2,450000,5000,Medium,2016
6337,G. Greer,Brighton & Hove Albion,Premier League,46,73,13,34,1,52,43,69,69,44,51,2,325000,5000,Low,2016
6338,M. Taylor,Burnley,Premier League,69,62,15,33,2,70,62,69,69,73,73,3,625000,6000,Medium,2016
6339,R. Jarstein,Hertha BSC,Bundesliga,13,0,68,30,1,16,45,69,69,32,10,1,825000,8000,Medium,2016
6340,F. Agliardi,Cesena,Serie A,3,-3,69,32,1,21,47,69,69,36,13,1,775000,8000,Medium,2016
6341,Y. Hadji,AS Nancy Lorraine,Ligue 1,70,30,12,35,2,61,64,69,69,77,66,3,400000,8000,Medium,2016
6342,D. Ducourtioux,GFC Ajaccio,Ligue 1,62,72,9,37,1,72,62,69,69,65,59,2,0,5000,Medium,2016
6343,G. Bourillon,Stade de Reims,Ligue 1,58,72,11,31,1,62,44,69,69,64,58,2,650000,8000,Low,2016
6344,W. Bressan,Chievo Verona,Serie A,11,7,74,34,1,17,41,69,69,36,11,1,650000,5000,Medium,2016
6345,M. Duff,Burnley,Premier League,47,74,12,37,1,50,45,69,69,54,42,2,0,5000,Low,2016
6346,R. Lemaître,En Avant de Guingamp,Ligue 1,63,76,12,32,1,59,64,69,69,66,60,3,575000,8000,Medium,2016
6347,Pedro Ríos,Córdoba CF,La Liga,54,31,11,33,1,63,63,69,69,58,66,3,625000,5000,Medium,2016
6348,Momo,UD Las Palmas,La Liga,66,20,12,32,1,62,64,69,69,62,73,3,775000,8000,Medium,2016
6349,L. Franco,SD Huesca,La Liga,15,12,70,38,2,20,45,69,69,39,16,1,170000,6000,Medium,2016
6350,Richy,Girona FC,La Liga,42,70,14,30,1,55,57,69,69,86,57,2,725000,8000,Medium,2016
6351,J. Mackie,Queens Park Rangers,Premier League,65,55,11,29,1,66,74,69,69,74,58,3,950000,8000,High,2016
6352,D. Brückner,SC Paderborn 07,Bundesliga,62,73,10,34,1,66,72,69,69,63,64,3,290000,5000,Medium,2016
6353,M. Parensen,1. FC Union Berlin,Bundesliga,58,70,10,29,1,64,69,69,69,66,63,2,750000,8000,Medium,2016
6354,T. Kessler,1. FC Köln,Bundesliga,6,3,68,29,2,17,45,69,69,38,13,1,875000,10000,Medium,2016
6355,G. Munari,Cagliari,Serie A,70,60,12,32,1,65,51,69,69,78,63,2,775000,8000,High,2016
6356,M. Zambelli,Empoli,Serie A,54,73,13,29,1,54,70,69,69,71,56,2,750000,8000,Medium,2016
6357,J. Vaughan,Huddersfield Town,Premier League,65,37,13,26,1,63,67,69,69,70,55,3,1100000,15000,High,2016
6358,A. Crofts,Brighton & Hove Albion,Premier League,68,70,9,31,1,68,63,69,69,70,63,2,825000,8000,High,2016
6359,G. Leadbitter,Middlesbrough,Premier League,65,65,9,29,1,70,67,69,69,72,67,3,775000,8000,High,2016
6360,Cobeño,Rayo Vallecano,La Liga,5,0,66,33,1,23,54,69,69,32,5,1,725000,5000,Medium,2016
6361,J. Lynch,Huddersfield Town,Premier League,55,73,12,27,1,52,62,69,69,73,50,2,825000,10000,Medium,2016
6362,A. Bellinghausen,Fortuna Düsseldorf,Bundesliga,62,68,12,32,1,68,70,69,69,75,67,2,775000,8000,High,2016
